Tool Name,Category,URL,What it does,Free/Paid,Added by,Post/Blog Link
ChatGPT,Text / Chat Assistants,https://chat.openai.com,AI chatbot for writing and Q&A,Freemium,Viraj,
Perplexity,Search / Research,https://www.perplexity.ai,AI search engine with citations,Freemium,Viraj,
Claude,Text / Chat Assistants,https://claude.ai,AI assistant by Anthropic for reasoning, writing, and Q&A,Freemium,Viraj,
Cursor,Code / Developer Tools,https://www.cursor.so,AI-first code editor for faster programming,Freemium,Viraj,
GitHub Copilot,Code / Developer Tools,https://github.com/features/copilot,AI pair programmer integrated with IDEs,Paid,Viraj,
Loveable,Code / Developer Tools,https://lovable.dev,AI that explains code, helps debug, and writes code alongside you,Freemium,Viraj,
Notion AI,Productivity / Writing,https://www.notion.so/product/ai,AI assistant built into Notion for writing and docs,Freemium,Viraj,
Krea AI,Design / Image Generation,https://www.krea.ai,AI-powered image generation and editing tool,Freemium,Viraj,
Runway ML,Video / Creative Tools,https://runwayml.com,AI tools for video editing and content generation,Paid,Viraj,
ElevenLabs,Voice / Audio Tools,https://www.elevenlabs.io,AI text-to-speech and voice cloning tool,Freemium,Viraj,
Gamma,Productivity / Presentations,https://gamma.app,Create beautiful, AI-generated presentations in minutes,Freemium,Viraj,
Poe,Text / Chat Assistants,https://poe.com,Aggregator of multiple AI chatbots (GPT, Claude, etc.),Freemium,Viraj,
HeyGen,Video / Creative Tools,https://www.heygen.com,AI-generated avatars and video creation,Paid,Viraj,
Tome,Productivity / Presentations,https://tome.app,AI-powered storytelling and slide creation tool,Freemium,Viraj,
Leonardo AI,Design / Image Generation,https://www.leonardo.ai,AI for creating game art, concept design, and images,Freemium,Viraj,
Veo 3,Video / Creative Tools,https://veo.google,Google's video generation model (experimental),N/A,Viraj,
